Accel_X,Accel_Y,Accel_Z,Body_Temp_F,Heart_rate,label
1.22,-1.39,11.78,75.54,0,running
1.46,-0.72,10.6,75.54,0,running
0.79,0.21,6.87,75.43,43,running
-0.16,-0.11,6.34,75.54,43,running
1.06,0.69,11.33,75.54,43,running
2.11,-0.61,7,75.54,0,running
-1.5,-1.28,9.65,75.54,0,running
-0.98,-1.57,8.04,75.54,165,running
0.98,1.18,10.14,75.54,164,running
1.74,-4.05,7.43,75.54,169,running
-1.57,-0.25,8.36,75.65,164,running
-0.64,0.16,7.37,75.54,173,running
1.34,-2.25,5.57,75.54,180,running
-0.22,-1.47,7.08,75.54,169,running
2.97,-1.71,9.36,75.54,158,running
3.38,-4.17,8.4,75.54,166,running
0.12,-5.1,7.76,75.54,160,running
2.85,-1.68,12.58,75.54,163,running
1.54,-0.69,8.29,75.54,169,running
3.3,-1.1,12.24,75.54,160,running
7.67,-0.82,15.24,75.54,153,running
1.94,-0.23,9.83,75.54,156,running
0.36,-2.28,8.65,75.65,135,running
1.26,-1.5,6.54,75.54,125,running
1.43,-2.88,8.42,75.54,112,running
0.64,-1.14,9.78,75.54,114,running
1.95,-1.5,6.42,75.54,120,running
-0.11,-1.03,7.46,75.54,122,running
3.18,-3.23,7.38,75.54,133,running
1.26,-3.31,6.42,75.54,157,running
-1.78,0.24,5.61,75.54,174,running
1.61,-2.66,6.19,75.54,174,running
3.29,-2.02,8.52,75.54,174,running
4.16,-6.56,7.91,75.54,174,running
2.73,-2.88,11.08,75.54,111,running
4.26,-1.7,8.53,75.54,111,running
3.65,-0.13,8.78,75.65,111,running
1.74,-2.39,5.79,75.54,0,running
2.69,-3.25,7.65,75.65,133,running
3.55,-3.12,7.89,75.65,126,running
2.82,-2.05,5.32,75.54,126,running
3.38,-0.21,7.02,75.65,118,running
0.53,-2.86,6.81,75.65,124,running
1.62,-2.89,9.55,75.65,131,running
2.16,-0.81,10.49,75.54,131,running
1.46,-2.74,5.87,75.65,131,running
2.14,-0.94,6.93,75.65,96,running
0.21,-3.86,8.18,75.54,96,running
2.94,-5.1,5.61,75.65,85,running
1.42,-2.98,5.81,75.54,84,running
2.83,-0.84,8.03,75.65,85,running
2.35,-1.39,6.4,75.54,88,running
2.5,-1.89,9.94,75.65,81,running
0.59,-1.48,7.34,75.54,78,running
0.67,-0.73,8.14,75.54,77,running
5.7,-2.39,8.97,75.54,77,running
2.23,-0.27,6.95,75.65,77,running
-1.75,-1.54,7.61,75.54,0,running
2.57,-3.71,7.52,75.54,236,running
