Accel_X,Accel_Y,Accel_Z,Amb_Temp,BPM,Batttery_Level_%,Batttery_V,Body_Temp_C,Body_Temp_F,Heart_rate,IBI,Predicted Activity,Pressure,Pressure_%,Status,Time,Volume,Volume_%
0.01,-0.26,10.11,24.73,766.0,-169.45,2.46,23.44,74.19,87.0,526.0,resting,72.3,55.48,abnormal,2023-04-11 19:10:56,0.0,0.0
0.02,-0.26,10.13,24.71,766.0,-164.97,2.5,23.44,74.19,87.0,526.0,resting,73.3,56.18,abnormal,2023-04-11 19:10:57,0.0,0.0
0.01,-0.25,10.12,24.72,770.0,-167.49,2.48,23.44,74.19,87.0,526.0,resting,69.6,53.37,abnormal,2023-04-11 19:10:58,0.0,0.0
0.02,-0.24,10.12,24.75,764.0,-168.31,2.47,23.44,74.19,87.0,527.0,resting,70.7,54.21,abnormal,2023-04-11 19:10:59,0.0,0.0
0.02,-0.25,10.12,24.72,680.0,-167.56,2.48,23.44,74.19,87.0,516.0,resting,70.5,54.07,abnormal,2023-04-11 19:10:59,0.0,0.0
0.01,-0.25,10.13,24.71,680.0,-163.78,2.51,23.44,74.19,87.0,526.0,resting,69.2,53.09,abnormal,2023-04-11 19:11:00,0.0,0.0
0.01,-0.25,10.13,24.73,820.0,-162.97,2.52,23.44,74.19,87.0,527.0,resting,73.6,56.46,abnormal,2023-04-11 19:11:01,0.0,0.0
0.01,-0.25,10.11,24.71,768.0,-167.65,2.47,23.5,74.3,83.0,526.0,resting,70.5,54.07,abnormal,2023-04-11 19:11:02,0.0,0.0
0.02,-0.26,10.12,24.74,662.0,-169.32,2.46,23.44,74.19,79.0,517.0,resting,70.7,54.21,abnormal,2023-04-11 19:11:02,0.0,0.0
0.01,-0.26,10.14,24.75,662.0,-160.63,2.54,23.44,74.19,79.0,526.0,resting,71.2,54.64,abnormal,2023-04-11 19:11:03,0.0,0.0
0.01,-0.25,10.1,24.73,838.0,-165.56,2.49,23.5,74.3,78.0,528.0,resting,68.3,52.39,abnormal,2023-04-11 19:11:04,0.0,0.0
0.0,-0.25,10.1,24.73,786.0,-169.31,2.46,23.44,74.19,78.0,526.0,resting,72.0,55.2,abnormal,2023-04-11 19:11:05,0.0,0.0
0.03,-0.25,10.1,24.77,748.0,-168.08,2.47,23.5,74.3,78.0,526.0,resting,71.1,54.5,abnormal,2023-04-11 19:11:05,0.0,0.0
0.01,-0.26,10.11,24.77,768.0,-169.47,2.46,23.44,74.19,78.0,526.0,resting,71.6,54.92,abnormal,2023-04-11 19:11:06,0.0,0.0
0.02,-0.24,10.14,24.72,782.0,-165.95,2.49,23.44,74.19,78.0,526.0,resting,70.5,54.07,abnormal,2023-04-11 19:11:07,0.0,0.0
0.01,-0.25,10.1,24.71,752.0,-167.13,2.48,23.5,74.3,77.0,525.0,resting,70.1,53.79,abnormal,2023-04-11 19:11:08,0.0,0.0
0.02,-0.26,10.14,24.74,768.0,-168.18,2.47,23.5,74.3,78.0,526.0,resting,68.3,52.39,abnormal,2023-04-11 19:11:08,0.0,0.0
0.0,-0.24,10.08,24.72,764.0,-165.67,2.49,23.44,74.19,78.0,524.0,resting,67.4,51.69,abnormal,2023-04-11 19:11:09,0.0,0.0
0.01,-0.25,10.12,24.71,784.0,-169.03,2.46,23.44,74.19,78.0,525.0,resting,67.2,51.55,abnormal,2023-04-11 19:11:10,0.0,0.0
0.01,-0.25,10.09,24.77,754.0,-167.86,2.47,23.44,74.19,77.0,525.0,resting,65.4,50.14,abnormal,2023-04-11 19:11:11,0.0,0.0
0.01,-0.26,10.15,24.74,766.0,-167.86,2.47,23.44,74.19,78.0,525.0,resting,65.4,50.14,abnormal,2023-04-11 19:11:12,0.0,0.0
0.0,-0.25,10.11,24.74,766.0,-168.6,2.47,23.44,74.19,78.0,524.0,resting,64.3,49.3,abnormal,2023-04-11 19:11:12,0.0,0.0
0.02,-0.26,10.14,24.72,782.0,-167.87,2.47,23.44,74.19,78.0,526.0,resting,63.7,48.88,abnormal,2023-04-11 19:11:13,0.0,0.0
0.02,-0.25,10.09,24.71,754.0,-166.57,2.48,23.44,74.19,78.0,524.0,resting,62.6,48.03,abnormal,2023-04-11 19:11:14,0.0,0.0
0.02,-0.25,10.13,24.73,780.0,-170.32,2.45,23.44,74.19,78.0,525.0,resting,65.2,50.0,abnormal,2023-04-11 19:11:15,0.0,0.0
0.0,-0.25,10.13,24.76,764.0,-168.86,2.46,23.44,74.19,78.0,524.0,resting,63.2,48.46,abnormal,2023-04-11 19:11:15,0.0,0.0
0.02,-0.24,10.15,24.75,766.0,-168.16,2.47,23.44,74.19,78.0,526.0,resting,62.6,48.03,abnormal,2023-04-11 19:11:16,0.0,0.0
0.01,-0.26,10.1,24.79,768.0,-171.64,2.44,23.44,74.19,78.0,526.0,resting,64.3,49.3,abnormal,2023-04-11 19:11:17,0.0,0.0
0.03,-0.25,10.13,24.76,756.0,-167.85,2.47,23.44,74.19,78.0,527.0,resting,63.2,48.46,abnormal,2023-04-11 19:11:18,0.0,0.0
0.02,-0.25,10.13,24.73,778.0,-171.08,2.44,23.44,74.19,78.0,527.0,resting,64.8,49.72,abnormal,2023-04-11 19:11:18,0.0,0.0
0.02,-0.25,10.15,24.72,764.0,-170.05,2.45,23.5,74.3,78.0,526.0,resting,64.1,49.16,abnormal,2023-04-11 19:11:19,0.0,0.0
0.02,-0.25,10.13,24.75,770.0,-167.52,2.48,23.44,74.19,78.0,526.0,resting,63.6,48.74,abnormal,2023-04-11 19:11:20,0.0,0.0
0.02,-0.25,10.12,24.73,460.0,-170.89,2.44,23.44,74.19,81.0,528.0,resting,63.7,48.88,abnormal,2023-04-11 19:11:21,0.0,0.0
0.02,-0.25,10.14,24.72,304.0,-169.77,2.46,23.5,74.3,87.0,528.0,resting,64.5,49.44,abnormal,2023-04-11 19:11:22,0.0,0.0
0.0,-0.25,10.12,24.7,766.0,-165.73,2.49,23.44,74.19,86.0,528.0,resting,65.2,50.0,abnormal,2023-04-11 19:11:22,0.0,0.0
0.02,-0.26,10.12,24.75,464.0,-170.11,2.45,23.5,74.3,90.0,528.0,resting,65.9,50.56,abnormal,2023-04-11 19:11:23,0.0,0.0
0.02,-0.25,10.13,24.75,300.0,-164.11,2.51,23.5,74.3,97.0,528.0,resting,66.7,51.12,abnormal,2023-04-11 19:11:24,0.0,0.0
0.02,-0.26,10.13,24.71,770.0,-168.95,2.46,23.5,74.3,97.0,527.0,resting,63.6,48.74,abnormal,2023-04-11 19:11:25,0.0,0.0
0.02,-0.25,10.12,24.74,460.0,-170.47,2.45,23.5,74.3,103.0,530.0,resting,65.8,50.42,abnormal,2023-04-11 19:11:25,0.0,0.0
0.02,-0.25,10.13,24.74,308.0,-167.63,2.47,23.44,74.19,111.0,529.0,resting,64.8,49.72,abnormal,2023-04-11 19:11:26,0.0,0.0
0.01,-0.26,10.13,24.75,764.0,-169.09,2.46,23.5,74.3,105.0,528.0,resting,66.7,51.12,abnormal,2023-04-11 19:11:27,0.0,0.0
0.01,-0.26,10.12,24.75,770.0,-169.76,2.46,23.5,74.3,97.0,528.0,resting,68.3,52.39,abnormal,2023-04-11 19:11:28,0.0,0.0
0.0,-0.25,10.13,24.73,766.0,-165.14,2.5,23.5,74.3,97.0,530.0,resting,68.3,52.39,abnormal,2023-04-11 19:11:28,0.0,0.0
0.02,-0.25,10.14,24.77,460.0,-169.0,2.46,23.44,74.19,97.0,532.0,resting,66.7,51.12,abnormal,2023-04-11 19:11:29,0.0,0.0
0.02,-0.25,10.11,24.74,306.0,-163.72,2.51,23.44,74.19,97.0,529.0,resting,69.4,53.23,abnormal,2023-04-11 19:11:30,0.0,0.0
0.01,-0.26,10.12,24.75,768.0,-168.55,2.47,23.44,74.19,97.0,529.0,resting,66.7,51.12,abnormal,2023-04-11 19:11:31,0.0,0.0
0.0,-0.25,10.13,24.76,768.0,-169.45,2.46,23.5,74.3,97.0,529.0,resting,70.3,53.93,abnormal,2023-04-11 19:11:31,0.0,0.0
