Accel_X,Accel_Y,Accel_Z,Body_Temp_F,Heart_rate,label
-0.08,0.01,9.93,91.74,0,resting
-0.07,0.02,9.97,91.74,0,resting
-0.06,0.02,9.94,91.85,0,resting
-0.08,0.02,9.95,91.85,0,resting
-0.06,0.01,9.96,91.74,0,resting
-0.07,0.01,9.96,91.74,0,resting
-0.07,0.01,9.93,91.74,0,resting
-0.07,0.02,9.97,91.74,0,resting
-0.06,0.02,9.94,91.74,0,resting
-0.07,0.02,9.96,91.74,0,resting
-0.07,0.01,9.96,91.74,0,resting
-0.07,0.01,9.95,91.74,0,resting
-0.07,0.02,9.94,91.74,0,resting
-0.07,0.02,9.97,91.74,0,resting
-0.06,0.01,9.94,91.74,0,resting
-0.06,0.02,9.96,91.62,0,resting
-0.06,0.01,9.93,91.74,0,resting
-0.06,0.02,9.98,91.74,0,resting
-0.06,0.02,9.97,91.74,0,resting
-0.07,0.01,9.96,91.62,0,resting
-0.06,0.01,9.95,91.74,0,resting
-0.08,0.01,9.96,91.62,111,resting
-0.05,0.02,9.96,91.62,116,resting
-0.06,0.02,9.97,91.62,121,resting
-0.06,0.02,9.97,91.62,118,resting
-0.07,0.03,9.95,91.74,116,resting
-0.05,0.01,9.97,91.62,111,resting
-0.07,0.01,9.96,91.62,111,resting
-0.08,0.01,9.97,91.62,96,resting
-0.07,0.03,9.96,91.62,90,resting
-0.08,0.01,9.95,91.62,90,resting
-0.06,0.03,9.96,91.62,82,resting
-0.08,0.01,9.95,91.62,74,resting
-0.06,0.01,9.98,91.62,74,resting
-0.07,0.03,9.96,91.62,70,resting
-0.09,0.01,9.98,91.62,64,resting
-0.07,0.03,9.98,91.62,64,resting
-0.06,0.02,9.94,91.62,64,resting
-0.06,0.02,9.99,91.62,64,resting
-0.09,0.03,9.97,91.62,0,resting
-0.05,0.03,10,91.62,0,resting
-0.08,0.02,9.95,91.62,0,resting
-0.07,0.02,9.98,91.62,0,resting
-0.07,0.02,9.97,91.62,0,resting
-0.07,0.01,9.99,91.62,0,resting
-0.07,0.02,9.96,91.62,0,resting
-0.06,0.01,9.99,91.51,48,resting
-0.06,0.02,9.97,91.62,50,resting
-0.07,0,9.97,91.51,50,resting
-0.08,0.02,9.95,91.62,48,resting
-0.07,0.01,9.97,91.62,48,resting
-0.06,0.01,9.95,91.51,48,resting
-0.07,0.02,9.97,91.51,48,resting
-0.08,0,9.97,91.51,43,resting
-0.06,0.02,9.96,91.51,43,resting
-0.08,0.01,9.98,91.51,43,resting
